x,y,z,player_name
454420.0,534203.0,20335.19140625,Mr_PsIx0pAt
455597.65625,534421.375,20190.224609375,Star_Mech
155689.1875,601737.625,777.7734985351562,Arsenyura72
536639.25,146496.453125,5387.31591796875,Maverick_Wekze
208463.859375,414565.46875,11004.2255859375,1NoNleX
547324.3125,131367.40625,6136.244140625,B_a_B_a-Y-a-G-a
470466.84375,528659.5,20527.51953125,ZLO_Kazahskoe
260062.484375,440297.21875,5366.3330078125,deD_Raq
212573.421875,415429.375,11605.4912109375,sodoifa
171743.921875,514732.0625,16394.130859375,BLACK_JACK_04RUS
158031.859375,602296.375,1653.106201171875,Casper_Cvsper
214157.671875,416921.1875,16095.275390625,ReyReyGrey-
334146.71875,755564.25,-384.0120849609375,Typ60
463584.40625,534528.8125,22031.54296875,SIave_Sirin
150899.6875,598051.5625,1116.435302734375,The_Blackhand
327929.25,353182.5625,13706.73046875,Dilza313
542746.125,166932.109375,4386.6484375,Bamzik_
296926.09375,449247.40625,5797.9580078125,SemLek
265703.09375,550565.0,15958.0888671875,14region_karat
215422.046875,411630.21875,9741.5068359375,Decrimininalized
165208.015625,600388.125,2095.51220703125,aribarb
340156.59375,749061.3125,3151.642822265625,black_major_01
374446.03125,436252.46875,5607.81396484375,DIKIU_Kapacb
374402.46875,294119.5625,8526.13671875,Vinnyshko
257531.984375,540063.25,15181.208984375,PandaYKT_
220620.265625,412587.71875,12952.43359375,Xa1tim
273044.65625,542159.0625,15225.0625,myfriday13
208209.0625,463585.5625,38135.484375,Okeahhh
321475.84375,360188.59375,13723.470703125,Legolas_WH
380569.5,319458.9375,12596.634765625,Twenki
214495.421875,407920.9375,11653.6015625,Xi_Ming_Jin
217228.109375,417653.125,12099.125,Tolann
261384.875,541705.4375,15147.0244140625,XohyyH
366487.0625,291064.78125,8196.615234375,KZ001NOL01
327028.0,358498.75,13826.59765625,ViTo77741
372293.1875,297857.46875,8196.5634765625,mikikaiva
260733.34375,530847.25,14813.1640625,UUS_ALDAN_CAXA
548928.5,148818.890625,6204.79931640625,TR4BIK
205637.09375,437360.59375,21938.9453125,Slimwat
340293.3125,761284.25,-1076.1126708984375,Rentgen--
229057.328125,426565.625,6538.0888671875,GoD-of-WaR222
504790.5625,374941.65625,10069.1513671875,lemonVxV
623756.375,258572.59375,6556.95458984375,SwaT_Ko6
530660.875,367012.28125,9402.7890625,zhaoqian1987
634756.6875,267944.09375,6864.1953125,SwaT_Ko9
640274.5625,255907.65625,5785.3388671875,clarkclady
639459.625,268775.21875,7594.64013671875,SwaT_Red
441949.625,381111.25,7642.5537109375,SwaT_Koo
449939.59375,559341.125,22110.12890625,Mr_MaviR
449085.75,555865.625,19739.32421875,muha_165
448641.75,546351.75,21493.51171875,Rokky666
441943.0625,548053.9375,20750.033203125,shalutianshi6
302078.6875,510658.21875,11903.36328125,Fokycnuk
331143.75,469535.59375,8055.8837890625,DOKHUYADELOV
339547.21875,493714.78125,7400.17138671875,EVERONEKZ
